"image_name","site","transect","boulder","cobble","green_algae_ulva","kelp_sugar","pebble","red_algae_branching","red_algae_filamentous","red_algae_flat_leaf","silt","kelp_bull_blade","kelp_five_rib","kelp_stipe","red_algae_bushy","unknown_area","Review","brown_algae_sargassum","red_algae_encrusting_CCA","sand_fine_shell","anthropogenic","kelp_holdfast","mobile_species","shell_hash","kelp_bryozoan","kelp_sieve","brown_algae_filamentous","green_algae_filamentous","combined_red_algae"
"2024_10_08_11-35-41.jpg","Centennial_Park",4,0.08,0.06,0.2,0.34,0.02,0,0,0,0.28,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
"2024_10_08_11-35-50.jpg","Centennial_Park",4,0.08,0.16,0.34,0,0.06,0,0,0,0.28,0,0,0,0,0.02,0,0.02,0,0.04,0,0,0,0,0,0,0,0,0
"2024_10_08_11-35-59.jpg","Centennial_Park",4,0.06,0.22,0.3,0.08,0.2,0,0,0,0.06,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.06,0,0
"2024_10_08_11-36-08.jpg","Centennial_Park",4,0.04,0.22,0.18,0.28,0.1,0,0.02,0.04,0.04,0,0.02,0,0,0.02,0,0,0,0,0,0,0,0,0,0.04,0,0,0.06
"2024_10_08_11-36-17.jpg","Centennial_Park",4,0.12,0.12,0.1,0.26,0.18,0,0.02,0.06,0,0,0.1,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.08
"2024_10_08_11-36-26.jpg","Centennial_Park",4,0.02,0,0.28,0.2,0.26,0,0,0.04,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0,0.04
"2024_10_08_11-36-35.jpg","Centennial_Park",4,0.02,0.08,0.52,0.2,0.06,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.08,0,0
"2024_10_08_11-36-44.jpg","Centennial_Park",4,0,0.08,0.38,0.18,0.12,0.02,0.02,0.02,0.04,0,0,0,0.04,0.04,0,0,0,0.02,0.02,0,0.02,0,0,0,0,0,0.1
"2024_10_08_11-36-54.jpg","Centennial_Park",4,0.02,0.06,0.58,0.04,0.22,0,0,0,0.06,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024_10_08_11-37-03.jpg","Centennial_Park",4,0.08,0.02,0.38,0.18,0.06,0,0.06,0,0.02,0,0,0,0.18,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.24
