key,site,transect,img_name,MDS1,MDS2,richness,Shannon,Simpson,Pielou,soft_sediment,shell_debris,cobble,pebble,hard_substrate,anthro_substrate,unknown,filamentous_brown,sargassum,sugar_kelp,green_algae,textured_kelp,other_brown_kelp,red_algae,coralline_algae,kelp_bryozoan,sessile_invert,mobile_invert
7_1,7,1,2022_8_15_11-59-18_24.jpg,0.170045608,0.883010463,8,1.396953076,0.627543253,0.671792425,49,3,2,2,0,0,13,2,0,0,8,0,0,6,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_32.jpg,-0.558672005,0.0676023,9,1.630850107,0.742480604,0.74223187,34,6,0,1,0,0,6,2,0,33,8,0,0,6,0,1,0,0
7_1,7,1,2022_8_15_11-59-18_0.jpg,0.058068314,0.947466053,6,1.361556334,0.6886,0.759899059,34,0,0,0,0,0,42,10,0,9,2,0,0,3,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_384.jpg,-0.709342095,-0.286634959,6,1.079170678,0.492404514,0.602296623,4,8,3,8,0,0,6,0,0,67,0,0,0,0,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_232.jpg,-0.150979084,-0.682809127,5,1.012194238,0.586674829,0.628911641,0,8,0,0,0,0,1,0,0,48,1,41,0,0,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_224.jpg,-0.583894389,-0.180891406,9,1.396296113,0.64,0.635481747,2,20,3,3,0,0,12,1,0,55,2,0,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_152.jpg,-0.480960814,0.150292007,8,1.817628995,0.804486068,0.874094779,8,1,14,14,0,0,5,0,0,32,11,0,0,8,0,0,0,1
7_1,7,1,2022_8_15_11-59-18_312.jpg,-0.311946062,-0.213777333,9,1.640332121,0.715326947,0.746547321,1,5,4,9,0,0,8,0,0,48,0,11,0,11,0,1,0,0
7_1,7,1,2022_8_15_11-59-18_544.jpg,0.006995275,-0.22073082,8,1.782598132,0.802867384,0.857248495,0,21,5,7,0,0,6,0,0,21,1,26,0,6,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_496.jpg,-0.705566826,-0.133065182,8,1.407554702,0.652019992,0.676890729,1,3,23,5,0,0,7,0,0,52,4,0,0,3,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_400.jpg,-0.827863776,-0.231961288,5,0.995472006,0.558514437,0.618521534,2,32,0,7,0,0,1,0,0,57,0,0,0,0,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_440.jpg,-0.232636519,0.181482074,8,1.737029453,0.787760417,0.835334593,14,34,1,5,0,0,9,0,0,18,2,0,0,13,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_120.jpg,-0.684133921,-0.250067353,9,1.294326511,0.542482299,0.589073381,3,6,7,3,0,0,6,1,0,65,5,0,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_216.jpg,-0.593507231,-0.01969167,7,1.420945109,0.6898,0.730221336,5,41,4,8,0,0,4,0,0,36,0,0,0,2,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_112.jpg,0.238466998,0.690186057,9,1.77883617,0.789919396,0.80958323,11,7,33,1,0,3,10,1,0,0,8,0,0,25,0,0,0,1
7_1,7,1,2022_8_15_11-59-18_416.jpg,-0.457359813,0.885003676,6,1.246360994,0.6512,0.695607315,10,40,2,42,0,0,2,0,0,0,4,0,0,0,0,0,0,0
7_1,7,1,2022_8_15_11-59-18_432.jpg,-0.0245311,-0.316277201,10,1.761501146,0.781663516,0.765010228,3,15,1,6,0,1,7,0,0,26,0,29,0,3,0,1,0,0
7_1,7,1,2022_8_15_11-59-18_160.jpg,-0.161998169,1.064572612,5,0.958210178,0.4982,0.595369458,0,0,4,67,0,0,22,0,0,2,0,0,0,5,0,0,0,0
