"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,121,"1_3","1","3","2022_10_06_14-23-32_120.jpg",0.01,0.01,0,0,0.01,0,0.08,0,0,0,0.51,0.04,0,0,0,0,0,0,0
1,130,"1_3","1","3","2022_10_06_14-23-32_184.jpg",0,0.02,0,0.04,0,0,0.02,0,0,0,0.64,0,0.16,0,0,0,0.02,0,0
1,122,"1_3","1","3","2022_10_06_14-23-32_128.jpg",0.02,0.1,0,0,0.01,0,0.06,0,0,0,0.76,0,0,0,0.03,0,0,0,0.01
1,128,"1_3","1","3","2022_10_06_14-23-32_168.jpg",0,0,0.06,0.02,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0
1,142,"1_3","1","3","2022_10_06_14-23-32_272.jpg",0,0.02,0,0,0,0,0,0,0,0,0.74,0.16,0,0,0,0,0,0.02,0
1,150,"1_3","1","3","2022_10_06_14-23-32_56.jpg",0,0.04,0,0,0,0,0,0,0,0,0.86,0.02,0,0,0,0,0.04,0,0
1,133,"1_3","1","3","2022_10_06_14-23-32_208.jpg",0,0,0.08,0,0,0,0,0,0,0,0.44,0.08,0,0,0.14,0,0,0,0
1,126,"1_3","1","3","2022_10_06_14-23-32_16.jpg",0,0.08,0.16,0.06,0,0,0.02,0,0,0,0.62,0.04,0,0,0,0,0,0.02,0
1,145,"1_3","1","3","2022_10_06_14-23-32_296.jpg",0,0,0.14,0,0,0,0.1,0,0,0,0.1,0.18,0.12,0,0.16,0,0,0.02,0
1,136,"1_3","1","3","2022_10_06_14-23-32_232.jpg",0,0.06,0.04,0,0,0,0,0,0,0,0.56,0.26,0,0,0.06,0,0,0,0
1,119,"1_3","1","3","2022_10_06_14-23-32_104.jpg",0,0.02,0.1,0,0,0,0,0,0.06,0,0.76,0,0,0,0,0,0,0,0.04
1,124,"1_3","1","3","2022_10_06_14-23-32_144.jpg",0.02,0.16,0.08,0,0,0,0,0,0,0,0.6,0.06,0,0,0.02,0,0.04,0,0
1,152,"1_3","1","3","2022_10_06_14-23-32_72.jpg",0,0.08,0.02,0,0,0,0,0,0,0,0.8,0.02,0,0,0,0,0.08,0,0
1,144,"1_3","1","3","2022_10_06_14-23-32_288.jpg",0.02,0.14,0.32,0.02,0,0,0,0,0,0,0.24,0.04,0,0,0.02,0,0,0.04,0
1,154,"1_3","1","3","2022_10_06_14-23-32_80.jpg",0,0.04,0.02,0,0,0,0,0,0,0,0.72,0.06,0,0,0,0,0,0,0
1,120,"1_3","1","3","2022_10_06_14-23-32_112.jpg",0,0.02,0.02,0,0,0,0.02,0,0,0,0.72,0,0,0,0,0,0,0,0
1,190,"2_1","2","1","2022_9_29_11-41-39_312.jpg",0.2,0.42,0,0.06,0.02,0,0.13,0.01,0,0,0,0,0,0,0.12,0,0,0,0
