name,site_name,site,transect,br_filam,br_sarg,gr_fil,gr_ulva,ke_5rib,ke_sieve,ke_stipe,ke_sugar,ms,re_branch,re_bush,re_fil,re_leaf,si_kelpbry,su_anth,su_bould,su_cob,su_peb,su_sand,su_shell,su_silt,unknown
2024_10_08_11-35-50.jpg,Centennial_Park,2,3,0,0.02,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0.08,0.16,0.06,0.04,0,0.28,0.02
2024_10_08_11-35-59.jpg,Centennial_Park,2,3,0.06,0,0,0.3,0,0,0,0.08,0,0,0,0,0,0,0,0.06,0.22,0.2,0.02,0,0.06,0
2024_10_08_11-36-08.jpg,Centennial_Park,2,3,0,0,0,0.18,0.02,0.04,0,0.28,0,0,0,0.02,0.04,0,0,0.04,0.22,0.1,0,0,0.04,0.02
2024_10_08_11-36-17.jpg,Centennial_Park,2,3,0,0.02,0,0.1,0.1,0,0.02,0.26,0,0,0,0.02,0.06,0,0,0.12,0.12,0.18,0,0,0,0
2024_10_08_11-36-26.jpg,Centennial_Park,2,3,0.08,0,0,0.28,0,0.02,0,0.2,0,0,0,0,0.04,0,0,0.02,0,0.26,0,0,0.1,0
2024_10_08_11-36-35.jpg,Centennial_Park,2,3,0.08,0,0,0.52,0,0,0,0.2,0,0,0,0,0,0,0,0.02,0.08,0.06,0.02,0,0.02,0
2024_10_08_11-36-44.jpg,Centennial_Park,2,3,0,0,0,0.38,0,0,0,0.18,0.02,0.02,0.04,0.02,0.02,0,0.02,0,0.08,0.12,0.02,0,0.04,0.04
2024_10_08_11-36-54.jpg,Centennial_Park,2,3,0,0,0,0.58,0,0,0,0.04,0,0,0,0,0,0,0,0.02,0.06,0.22,0,0,0.06,0.02
2024_10_08_11-37-03.jpg,Centennial_Park,2,3,0,0,0,0.38,0,0,0,0.18,0,0,0.18,0.06,0,0,0,0.08,0.02,0.06,0.02,0,0.02,0
2024_10_08_12-03-52.jpg,Centennial_Park,2,3,0.02,0,0,0.24,0,0,0,0.14,0,0,0,0.04,0.12,0,0,0.04,0.04,0.2,0.02,0,0.1,0.04
2024_10_08_12-04-01.jpg,Centennial_Park,2,3,0,0.02,0,0.3,0,0,0,0.12,0,0.1,0.02,0.04,0.16,0,0,0.06,0.02,0.06,0,0,0.04,0.06
2024_10_08_12-04-10.jpg,Centennial_Park,2,3,0.02,0,0,0.36,0,0,0,0,0,0.02,0,0.06,0.16,0,0,0,0.02,0.2,0.02,0,0.12,0.02
2024_10_08_12-04-19.jpg,Centennial_Park,2,3,0,0.02,0,0.26,0,0,0,0.16,0,0.04,0,0.1,0.28,0,0,0.02,0.04,0.06,0,0,0,0.02
2024_10_08_12-04-28.jpg,Centennial_Park,2,3,0,0.02,0,0.7,0,0,0,0.1,0,0,0,0,0.02,0,0,0.02,0.06,0.08,0,0,0,0
2024_10_08_12-04-37.jpg,Centennial_Park,2,3,0,0,0,0.3,0,0,0,0.22,0,0,0.04,0.02,0.02,0,0,0.12,0.04,0.16,0,0,0.06,0.02
2024_10_08_12-04-46.jpg,Centennial_Park,2,3,0,0,0,0.2,0,0.02,0,0.44,0,0,0,0.04,0,0,0,0,0.04,0.08,0.02,0,0.14,0.02
