time,date,site,transect,key,flight_time,sec_csum,depth,heading,lat,lon,temp,avg_dist,avg_conf,EucDIS,lat_smooth,lon_smooth,EucSmooth,heading_degrees,sim_x,sim_y,width,height,area,img_name,Points,cup_SI,anem_SI,bivalve_SI,CaCuc_MS,crab_MS,CucEmb_SI,encru_SI,gastro_MS,HydBry_SI,KelpBry_SI,scallop_SI,SponSol_SI,SStar_MS,TunSol_SI,urchin_MS,shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,glass_SU,metal_SU,poly_SU,UNIdent,X3rib_KE,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,cord_KE,crust_CA,DiRet_KE,feath_KE,filam_BR,filam_RE,FlatAci_BR,fucus_BR,giant_KE,holdfas_BR,LaEph_KE,LaLoSi_KE,leaf_RE,palm_KE,ribbn_KE,sargass_BR,senes_AL,senes_RE,split_KE,stalk_KE,strap_KE,StriAci_BR,sugar_KE,ulva_GR,undaria_BR,unk_BR,unk_RE,eel_SG,surf_SG,alt_smooth,SimDIS
13:51:12,10/6/2022,1,1,1_1,0:09:29,32,-6.4008,264,47.6302719,-122.3983154,55.11,0.949888889,100,0.570979036,47.63027672,-122.3983059,0.570979036,276,47.63027236,-122.3982832,2.663390216,1.16418532,3.10067979,2022_10_06_13-50-40_32.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,1,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,59,2,0,1,0,0,0,NA,NA
13:56:00,10/6/2022,1,1,1_1,0:14:17,320,-5.97408,262,47.6303138,-122.3987579,55.09,0.904777778,100,1.399865702,47.6303185,-122.3987485,1.399865702,274,47.63031404,-122.3987251,2.536903325,1.108897071,2.813164667,2022_10_06_13-50-40_320.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,5,0,0,1,0,0,0,0,0,0,0,4,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,5,0,0,0,NA,NA
13:56:08,10/6/2022,1,1,1_1,0:14:25,328,-5.91312,263,47.6303062,-122.3987579,55.09,0.969666667,100,0,47.63031342,-122.3987631,0,275,47.6303148,-122.3987363,2.71884506,1.188424996,3.231143428,2022_10_06_13-50-40_328.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,0,1,0,0,0,NA,NA
13:56:16,10/6/2022,1,1,1_1,0:14:33,336,-5.91312,261,47.63031,-122.3987808,55.09,0.904777778,100,0.716255056,47.63031568,-122.3987736,0.716255056,273,47.6303156,-122.3987463,2.536903325,1.108897071,2.813164667,2022_10_06_13-50-40_336.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,3,0,0,1,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,5,0,0,0,NA,NA
13:56:24,10/6/2022,1,1,1_1,0:14:41,344,-5.7912,262,47.6303215,-122.3987884,55.09,0.929111111,100,0,47.63032065,-122.3987882,0,274,47.63031651,-122.3987578,2.605131475,1.138720042,2.966515423,2022_10_06_13-50-40_344.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,NA,NA
13:56:32,10/6/2022,1,1,1_1,0:14:49,352,-5.7912,262,47.6303253,-122.3988037,55.09,1.018222222,100,0.422337475,47.63032577,-122.3988037,0.422337475,274,47.63031752,-122.3987708,2.854989815,1.24793476,3.56284103,2022_10_06_13-50-40_352.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,8,0,0,0,0,0,NA,NA
13:56:40,10/6/2022,1,1,1_1,0:14:57,360,-5.82168,262,47.6303405,-122.3988113,55.11,1.024555556,100,0.422337477,47.63033145,-122.398816,0.422337477,274,47.63031843,-122.3987833,2.872747829,1.255696904,3.607300556,2022_10_06_13-50-40_360.jpg,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,19,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,NA,NA
13:56:48,10/6/2022,1,1,1_1,0:15:05,368,-5.76072,263,47.6303443,-122.3988189,55.09,1.012,100,0,47.63033976,-122.3988257,0,275,47.63031929,-122.3987944,2.837543348,1.240308795,3.519429971,2022_10_06_13-50-40_368.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,14,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,NA,NA
13:56:56,10/6/2022,1,1,1_1,0:15:13,376,-5.73024,263,47.6303405,-122.3988571,55.09,1.041666667,100,0,47.63034729,-122.3988382,0,275,47.63031993,-122.3988029,2.920725614,1.276668309,3.728797831,2022_10_06_13-50-40_376.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,0,0,0,NA,NA
13:57:04,10/6/2022,1,1,1_1,0:15:21,384,-5.69976,263,47.6303405,-122.3988571,55.09,1.025111111,100,0,47.63034633,-122.3988569,0,275,47.63032097,-122.3988154,2.874305547,1.256377794,3.611213662,2022_10_06_13-50-40_384.jpg,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,2,0,0,8,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,1,0,0,0,0,0,NA,NA
13:57:12,10/6/2022,1,1,1_1,0:15:29,392,-5.76072,263,47.630352,-122.3988494,55.09,1.010666667,100,0,47.63034285,-122.3988771,0,275,47.63032206,-122.3988277,2.83380482,1.23867466,3.510162223,2022_10_06_13-50-40_392.jpg,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,NA,NA
