"sum","data_pts","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,97,"1_2","1","2","2022_10_06_14-05-43_160.jpg",0,0.11,0.02,0.02,0,0,0,0,0,0,0.84,0,0,0,0,0,0.01,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_336.jpg",0,0.01,0,0,0,0,0,0,0,0,0.88,0.11,0,0,0,0,0,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_360.jpg",0,0.16,0.04,0,0,0,0,0,0,0,0.7,0.1,0,0,0,0,0,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_368.jpg",0,0.06,0,0,0,0,0.02,0,0,0,0.82,0,0,0,0,0,0.1,0,0
1,89,"1_2","1","2","2022_10_06_14-05-43_40.jpg",0.04,0.24,0.08,0.07,0,0,0.19,0,0,0,0.37,0.01,0,0,0,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_464.jpg",0,0.2,0.03,0.02,0.01,0,0.02,0.01,0,0,0,0,0.57,0,0.14,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_440.jpg",0.01,0.03,0.02,0,0,0,0.02,0,0,0,0,0,0.92,0,0,0,0,0,0
1,98,"2_1","2","1","2022_9_29_11-41-39_448.jpg",0,0.37,0,0.09,0,0,0.05,0,0,0,0,0.01,0.48,0,0,0,0,0,0
1.01,97,"2_1","2","1","2022_9_29_11-41-39_88.jpg",0.21,0.25,0.03,0.19,0.03,0,0.26,0,0,0,0,0,0,0,0.04,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_144.jpg",0.3,0.18,0.03,0.08,0,0,0.04,0.07,0,0,0,0,0.16,0,0.14,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_216.jpg",0.08,0.2,0,0.29,0,0,0.04,0,0,0,0,0,0.36,0,0.02,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_128.jpg",0.05,0.11,0,0.07,0,0,0.02,0.04,0,0,0,0,0.62,0,0.09,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_344.jpg",0.11,0.25,0,0.01,0.02,0,0.06,0,0,0,0,0,0.48,0,0.07,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_328.jpg",0.01,0.04,0.01,0,0.07,0,0.03,0.03,0,0,0,0,0.74,0,0.07,0,0,0,0
0.99,97,"2_1","2","1","2022_9_29_11-41-39_360.jpg",0.16,0.29,0,0.01,0,0,0.01,0.05,0,0,0,0,0.39,0,0.08,0,0,0,0
1,96,"2_1","2","1","2022_9_29_11-41-39_24.jpg",0.33,0.03,0.05,0.17,0,0,0.23,0,0,0,0.01,0,0.04,0,0.14,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_408.jpg",0.03,0.12,0,0,0,0,0,0,0,0,0,0,0.82,0,0.03,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_208.jpg",0.17,0.14,0.03,0.14,0,0,0.26,0,0,0,0,0.04,0.2,0,0.01,0,0,0,0.01
1,99,"2_1","2","1","2022_9_29_11-41-39_48.jpg",0.2,0,0,0,0,0,0.55,0,0,0,0.01,0.04,0.01,0,0.19,0,0,0,0
0.99,97,"2_1","2","1","2022_9_29_11-41-39_120.jpg",0.13,0.22,0.01,0.08,0,0,0.34,0,0,0,0,0.01,0.13,0,0.07,0,0,0,0
0.99,92,"2_1","2","1","2022_9_29_11-41-39_8.jpg",0.12,0.14,0.15,0.11,0.03,0,0.14,0,0,0,0.01,0.01,0.24,0,0.04,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_392.jpg",0.12,0.44,0.01,0.15,0,0,0.02,0,0,0,0.01,0,0.23,0,0.02,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_240.jpg",0.05,0.18,0.01,0.3,0,0,0.37,0,0,0,0,0,0.02,0,0.07,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_232.jpg",0.07,0.25,0.03,0.07,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_336.jpg",0.06,0.11,0.03,0.02,0,0,0.07,0.02,0,0,0.01,0,0.67,0,0,0,0,0.01,0
1,100,"2_1","2","1","2022_9_29_11-41-39_184.jpg",0.09,0.13,0,0,0,0,0.03,0,0,0,0,0,0.63,0,0.12,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_0.jpg",0,0,0.31,0.03,0,0,0.1,0,0,0,0,0,0.53,0,0.03,0,0,0,0
1,96,"2_1","2","1","2022_9_29_11-41-39_312.jpg",0.21,0.44,0,0.06,0.02,0,0.14,0.01,0,0,0,0,0,0,0.12,0,0,0,0
1,94,"2_1","2","1","2022_9_29_11-41-39_168.jpg",0.18,0.12,0.11,0.18,0,0,0.01,0.06,0,0,0.01,0,0,0,0.33,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_248.jpg",0.15,0.12,0.03,0.18,0,0,0.04,0,0,0,0,0,0.48,0,0,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_32.jpg",0.35,0.04,0.05,0.08,0,0,0.2,0.01,0,0,0,0.02,0.1,0,0.15,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_368.jpg",0.03,0.1,0,0.01,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_56.jpg",0.16,0,0,0,0,0,0.48,0,0,0,0,0,0.16,0,0.19,0,0,0,0
0.99,90,"2_1","2","1","2022_9_29_11-41-39_80.jpg",0.13,0.09,0.03,0.13,0,0,0.12,0,0,0,0,0,0.32,0,0.17,0,0,0,0
1,98,"2_1","2","1","2022_9_29_11-41-39_352.jpg",0.01,0.02,0.01,0.01,0.01,0,0.03,0.03,0,0,0,0,0.76,0,0.12,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_192.jpg",0.32,0.22,0,0.07,0,0,0.1,0.05,0,0,0.01,0,0,0,0.22,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_176.jpg",0.12,0.18,0.01,0.06,0,0,0.05,0.03,0,0,0,0.03,0.13,0,0.39,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_424.jpg",0.11,0.35,0.01,0,0,0,0.06,0,0,0,0.01,0,0.41,0,0.05,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_96.jpg",0.09,0.13,0,0.02,0.14,0,0.04,0,0,0,0,0,0.5,0,0.08,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_320.jpg",0.06,0.25,0.01,0.07,0,0,0.05,0.01,0,0,0,0,0.39,0,0.15,0,0,0,0
0.99,97,"2_1","2","1","2022_9_29_11-41-39_272.jpg",0.52,0.14,0,0.04,0,0,0.05,0.13,0,0,0,0,0,0,0.11,0,0,0,0
1,96,"2_1","2","1","2022_9_29_11-41-39_400.jpg",0.15,0.49,0,0.11,0,0,0.03,0,0,0,0,0,0.19,0,0.03,0,0,0,0
1,88,"2_1","2","1","2022_9_29_11-41-39_376.jpg",0.18,0.39,0,0.03,0,0,0.09,0.05,0,0,0.01,0,0.11,0,0.14,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_296.jpg",0.04,0.16,0,0,0.05,0,0.12,0,0,0,0.04,0,0.56,0,0.03,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_200.jpg",0.4,0.11,0.02,0.07,0,0,0.09,0.02,0,0,0,0.03,0.06,0,0.19,0,0,0,0
1,99,"2_1","2","1","2022_9_29_11-41-39_432.jpg",0.05,0.25,0.06,0,0,0,0.07,0,0,0,0,0,0.52,0,0.03,0,0,0,0.02
1,100,"2_1","2","1","2022_9_29_11-41-39_40.jpg",0.48,0,0,0,0,0.03,0.29,0,0,0,0.04,0.01,0,0,0.15,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_136.jpg",0.16,0.14,0.13,0.03,0,0,0.1,0.02,0,0,0,0.02,0.15,0,0.23,0,0,0,0.01
0.99,97,"2_1","2","1","2022_9_29_11-41-39_64.jpg",0.15,0.01,0.04,0.03,0,0,0.39,0,0,0,0,0,0.3,0,0.07,0,0,0,0
0.98,86,"2_1","2","1","2022_9_29_11-41-39_304.jpg",0.16,0.53,0,0.02,0.01,0,0.1,0.02,0,0,0,0,0,0,0.13,0,0,0,0.01
1,100,"2_1","2","1","2022_9_29_11-41-39_72.jpg",0.26,0.02,0,0.03,0,0,0.25,0,0,0,0,0.01,0.21,0,0.22,0,0,0,0
1,94,"2_1","2","1","2022_9_29_11-41-39_152.jpg",0.22,0.24,0,0.11,0.02,0,0.1,0.09,0,0,0,0.01,0.15,0,0.05,0.01,0,0,0
1,96,"2_1","2","1","2022_9_29_11-41-39_456.jpg",0.01,0.48,0.03,0.07,0,0,0.14,0,0,0,0,0,0.11,0,0.16,0,0,0,0
0.99,99,"2_1","2","1","2022_9_29_11-41-39_264.jpg",0.38,0.19,0.04,0.1,0,0,0.08,0.04,0,0,0.06,0.03,0.02,0,0.05,0,0,0,0
1,100,"2_1","2","1","2022_9_29_11-41-39_16.jpg",0.11,0.11,0.05,0.09,0.06,0,0.18,0,0,0,0.09,0.03,0.13,0,0.14,0.01,0,0,0
1,100,"2_2","2","2","2022_9_29_11-59-23_232.jpg",0,0,0.1,0,0.04,0,0,0,0,0,0,0.02,0.8,0,0,0.02,0,0,0.02
1,100,"2_2","2","2","2022_9_29_11-59-23_152.jpg",0.02,0,0,0,0.24,0,0,0.02,0,0,0,0,0.2,0,0.5,0.02,0,0,0
0.99,98,"2_2","2","2","2022_9_29_11-59-23_248.jpg",0,0.02,0,0,0.16,0,0.02,0,0,0,0.02,0,0.63,0,0.02,0.08,0,0.04,0
1,100,"2_2","2","2","2022_9_29_11-59-23_40.jpg",0,0,0.1,0,0.48,0,0.02,0,0,0,0,0,0.34,0,0,0,0,0.02,0.04
1,80,"2_2","2","2","2022_9_29_11-59-23_408.jpg",0,0,0.12,0.05,0.03,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0
1,100,"2_2","2","2","2022_9_29_11-59-23_264.jpg",0,0,0,0,0.22,0,0,0,0,0,0,0,0.66,0,0.04,0.06,0,0,0.02
1,100,"2_2","2","2","2022_9_29_11-59-23_160.jpg",0,0,0,0,0.04,0,0,0.24,0,0,0,0,0.52,0,0.16,0.04,0,0,0
0.99,94,"2_2","2","2","2022_9_29_11-59-23_432.jpg",0,0,0.04,0,0.06,0,0.15,0,0,0,0,0,0.7,0,0.04,0,0,0,0
0.99,98,"2_2","2","2","2022_9_29_11-59-23_368.jpg",0,0,0,0,0.1,0,0.22,0,0,0,0,0,0.67,0,0,0,0,0,0
1,100,"2_2","2","2","2022_9_29_11-59-23_280.jpg",0,0,0.02,0,0.06,0,0,0,0,0,0.08,0,0.82,0,0.02,0,0,0,0
