"key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
"2_1","2","1","2022_9_29_11-41-39_288.jpg",15,28,0,2,0,0,9,19,0,0,0,0,11,0,14,0,0,0,1
"2_1","2","1","2022_9_29_11-41-39_24.jpg",32,3,5,16,0,0,22,0,0,0,1,0,4,0,13,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_336.jpg",6,11,3,2,0,0,7,2,0,0,1,0,67,0,0,0,0,1,0
"2_1","2","1","2022_9_29_11-41-39_344.jpg",11,25,0,1,2,0,6,0,0,0,0,0,48,0,7,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_256.jpg",17,20,0,3,0,0,32,0,0,0,0,0,26,0,0,0,0,0,2
"2_1","2","1","2022_9_29_11-41-39_96.jpg",9,13,0,2,14,0,4,0,0,0,0,0,50,0,8,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_376.jpg",16,34,0,3,0,0,8,4,0,0,1,0,10,0,12,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_272.jpg",50,14,0,4,0,0,5,13,0,0,0,0,0,0,11,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_184.jpg",9,13,0,0,0,0,3,0,0,0,0,0,63,0,12,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_352.jpg",1,2,1,1,1,0,3,3,0,0,0,0,74,0,12,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_0.jpg",0,0,31,3,0,0,10,0,0,0,0,0,53,0,3,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_240.jpg",5,18,1,30,0,0,37,0,0,0,0,0,2,0,7,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_136.jpg",16,14,13,3,0,0,10,2,0,0,0,2,15,0,23,0,0,0,1
"2_1","2","1","2022_9_29_11-41-39_72.jpg",26,2,0,3,0,0,25,0,0,0,0,1,21,0,22,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_88.jpg",20,24,3,18,3,0,25,0,0,0,0,0,0,0,4,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_280.jpg",24,12,2,11,0,0,3,0,0,0,8,0,35,0,5,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_16.jpg",11,11,5,9,6,0,18,0,0,0,9,3,13,0,14,1,0,0,0
"2_1","2","1","2022_9_29_11-41-39_168.jpg",17,11,10,17,0,0,1,6,0,0,1,0,0,0,31,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_296.jpg",4,16,0,0,5,0,12,0,0,0,4,0,56,0,3,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_32.jpg",35,4,5,8,0,0,20,1,0,0,0,2,10,0,15,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_384.jpg",9,35,1,8,0,0,9,1,0,0,0,0,33,0,4,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_224.jpg",36,11,7,6,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_416.jpg",7,24,1,2,0,0,4,0,0,0,0,0,59,0,1,0,0,0,0
"2_1","2","1","2022_9_29_11-41-39_8.jpg",11,13,14,10,3,0,13,0,0,0,1,1,22,0,4,0,0,0,0
