"sum","SU","key","site","transect","img_name","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,186,"2_1",2,1,"2022_9_29_11-41-39_280.jpg",0.24,0.12,0.02,0.11,0,0,0.03,0,0,0,0.08,0,0.35,0,0.05,0,0,0,0
1,180,"2_1",2,1,"2022_9_29_11-41-39_24.jpg",0.32,0.03,0.05,0.16,0,0,0.22,0,0,0,0.01,0,0.04,0,0.13,0,0,0,0
1,170,"2_1",2,1,"2022_9_29_11-41-39_160.jpg",0.31,0.14,0.02,0.2,0.06,0,0.1,0.03,0,0,0,0.01,0,0,0.06,0,0,0,0.01
1,203,"2_1",2,1,"2022_9_29_11-41-39_400.jpg",0.14,0.47,0,0.11,0,0,0.03,0,0,0,0,0,0.18,0,0.03,0,0,0,0
1,193,"2_1",2,1,"2022_9_29_11-41-39_328.jpg",0.01,0.04,0.01,0,0.07,0,0.03,0.03,0,0,0,0,0.74,0,0.07,0,0,0,0
1,213,"2_1",2,1,"2022_9_29_11-41-39_56.jpg",0.16,0,0,0,0,0,0.48,0,0,0,0,0,0.16,0,0.19,0,0,0,0
1,218,"2_1",2,1,"2022_9_29_11-41-39_88.jpg",0.2,0.24,0.03,0.18,0.03,0,0.25,0,0,0,0,0,0,0,0.04,0,0,0,0
1,194,"2_1",2,1,"2022_9_29_11-41-39_336.jpg",0.06,0.11,0.03,0.02,0,0,0.07,0.02,0,0,0.01,0,0.67,0,0,0,0,0.01,0
1,185,"2_1",2,1,"2022_9_29_11-41-39_272.jpg",0.5,0.14,0,0.04,0,0,0.05,0.13,0,0,0,0,0,0,0.11,0,0,0,0
1,188,"2_1",2,1,"2022_9_29_11-41-39_296.jpg",0.04,0.16,0,0,0.05,0,0.12,0,0,0,0.04,0,0.56,0,0.03,0,0,0,0
1,192,"2_1",2,1,"2022_9_29_11-41-39_320.jpg",0.06,0.25,0.01,0.07,0,0,0.05,0.01,0,0,0,0,0.39,0,0.15,0,0,0,0
1,216,"2_1",2,1,"2022_9_29_11-41-39_8.jpg",0.11,0.13,0.14,0.1,0.03,0,0.13,0,0,0,0.01,0.01,0.22,0,0.04,0,0,0,0
1,205,"2_1",2,1,"2022_9_29_11-41-39_416.jpg",0.07,0.24,0.01,0.02,0,0,0.04,0,0,0,0,0,0.59,0,0.01,0,0,0,0
1,167,"2_1",2,1,"2022_9_29_11-41-39_144.jpg",0.3,0.18,0.03,0.08,0,0,0.04,0.07,0,0,0,0,0.16,0,0.14,0,0,0,0
1,209,"2_1",2,1,"2022_9_29_11-41-39_448.jpg",0,0.36,0,0.09,0,0,0.05,0,0,0,0,0.01,0.47,0,0,0,0,0,0
1,196,"2_1",2,1,"2022_9_29_11-41-39_352.jpg",0.01,0.02,0.01,0.01,0.01,0,0.03,0.03,0,0,0,0,0.74,0,0.12,0,0,0,0
1,178,"2_1",2,1,"2022_9_29_11-41-39_224.jpg",0.36,0.11,0.07,0.06,0,0,0.39,0,0,0,0,0,0,0,0.01,0,0,0,0
1,163,"2_1",2,1,"2022_9_29_11-41-39_112.jpg",0.28,0.08,0.01,0.04,0,0,0.28,0,0,0,0,0.01,0,0,0.3,0,0,0,0
1,211,"2_1",2,1,"2022_9_29_11-41-39_464.jpg",0,0.2,0.03,0.02,0.01,0,0.02,0.01,0,0,0,0,0.57,0,0.14,0,0,0,0
1,195,"2_1",2,1,"2022_9_29_11-41-39_344.jpg",0.11,0.25,0,0.01,0.02,0,0.06,0,0,0,0,0,0.48,0,0.07,0,0,0,0
1,181,"2_1",2,1,"2022_9_29_11-41-39_240.jpg",0.05,0.18,0.01,0.3,0,0,0.37,0,0,0,0,0,0.02,0,0.07,0,0,0,0
1,177,"2_1",2,1,"2022_9_29_11-41-39_216.jpg",0.08,0.2,0,0.29,0,0,0.04,0,0,0,0,0,0.36,0,0.02,0,0,0,0
1,162,"2_1",2,1,"2022_9_29_11-41-39_104.jpg",0.09,0.13,0,0.04,0,0,0.24,0,0,0,0.01,0,0.47,0,0.01,0,0,0,0
1,164,"2_1",2,1,"2022_9_29_11-41-39_120.jpg",0.13,0.21,0.01,0.08,0,0,0.33,0,0,0,0,0.01,0.13,0,0.07,0,0,0,0
1,175,"2_1",2,1,"2022_9_29_11-41-39_200.jpg",0.4,0.11,0.02,0.07,0,0,0.09,0.02,0,0,0,0.03,0.06,0,0.19,0,0,0,0
1,169,"2_1",2,1,"2022_9_29_11-41-39_16.jpg",0.11,0.11,0.05,0.09,0.06,0,0.18,0,0,0,0.09,0.03,0.13,0,0.14,0.01,0,0,0
1,187,"2_1",2,1,"2022_9_29_11-41-39_288.jpg",0.15,0.28,0,0.02,0,0,0.09,0.19,0,0,0,0,0.11,0,0.14,0,0,0,0.01
1,176,"2_1",2,1,"2022_9_29_11-41-39_208.jpg",0.17,0.14,0.03,0.14,0,0,0.26,0,0,0,0,0.04,0.2,0,0.01,0,0,0,0.01
1,202,"2_1",2,1,"2022_9_29_11-41-39_40.jpg",0.48,0,0,0,0,0.03,0.29,0,0,0,0.04,0.01,0,0,0.15,0,0,0,0
1,208,"2_1",2,1,"2022_9_29_11-41-39_440.jpg",0.01,0.03,0.02,0,0,0,0.02,0,0,0,0,0,0.92,0,0,0,0,0,0
1,165,"2_1",2,1,"2022_9_29_11-41-39_128.jpg",0.05,0.11,0,0.07,0,0,0.02,0.04,0,0,0,0,0.62,0,0.09,0,0,0,0
1,212,"2_1",2,1,"2022_9_29_11-41-39_48.jpg",0.2,0,0,0,0,0,0.54,0,0,0,0.01,0.04,0.01,0,0.19,0,0,0,0
1,217,"2_1",2,1,"2022_9_29_11-41-39_80.jpg",0.12,0.08,0.03,0.12,0,0,0.11,0,0,0,0,0,0.29,0,0.15,0,0,0,0
1,172,"2_1",2,1,"2022_9_29_11-41-39_176.jpg",0.12,0.18,0.01,0.06,0,0,0.05,0.03,0,0,0,0.03,0.13,0,0.39,0,0,0,0
1,183,"2_1",2,1,"2022_9_29_11-41-39_256.jpg",0.17,0.2,0,0.03,0,0,0.32,0,0,0,0,0,0.26,0,0,0,0,0,0.02
1,197,"2_1",2,1,"2022_9_29_11-41-39_360.jpg",0.16,0.28,0,0.01,0,0,0.01,0.05,0,0,0,0,0.38,0,0.08,0,0,0,0
1,171,"2_1",2,1,"2022_9_29_11-41-39_168.jpg",0.17,0.11,0.1,0.17,0,0,0.01,0.06,0,0,0.01,0,0,0,0.31,0,0,0,0
1,184,"2_1",2,1,"2022_9_29_11-41-39_264.jpg",0.38,0.19,0.04,0.1,0,0,0.08,0.04,0,0,0.06,0.03,0.02,0,0.05,0,0,0,0
1,239,"2_2",2,2,"2022_9_29_11-59-23_24.jpg",0.08,0.02,0,0,0.28,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0
1,256,"2_2",2,2,"2022_9_29_11-59-23_360.jpg",0,0,0.02,0,0.12,0,0.08,0.24,0,0,0,0,0.52,0,0,0,0,0,0.02
1,250,"2_2",2,2,"2022_9_29_11-59-23_32.jpg",0,0,0.06,0,0.36,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
1,243,"2_2",2,2,"2022_9_29_11-59-23_264.jpg",0,0,0,0,0.22,0,0,0,0,0,0,0,0.66,0,0.04,0.06,0,0,0.02
1,230,"2_2",2,2,"2022_9_29_11-59-23_168.jpg",0,0,0,0,0.04,0,0,0.34,0,0,0,0,0.14,0,0.46,0.02,0,0,0
