"sum","SU","key","site","transect","img_name","MDS1","MDS2","soft_sediment","shell_debris","cobble","pebble","hard_substrate","anthro_substrate","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","coralline_algae","kelp_bryozoan","sessile_invert","mobile_invert"
1,97,"1_2","1","2","2022_10_06_14-05-43_344.jpg",-0.81481889150337,-0.298755016418631,0,6,3,8,0,0,1,0,0,0,74,4,0,0,3,0,1,0,0
1,63,"1_2","1","2","2022_10_06_14-05-43_0.jpg",-0.320189525673898,-0.591910186329454,0,10,2,4,0,0,0,0,0,0,53,0,25,0,0,0,6,0,0
1,70,"1_2","1","2","2022_10_06_14-05-43_152.jpg",-1.07604997038107,-0.619244250404846,0,2,0,0,0,0,0,0,0,0,82,0,0,0,0,2,4,0,0
1,87,"1_2","1","2","2022_10_06_14-05-43_272.jpg",-0.644487398589121,-0.263878474294397,6,15,4,1,0,0,5,0,0,0,60,3,0,0,2,0,4,0,0
1,100,"1_2","1","2","2022_10_06_14-05-43_368.jpg",-0.983214219303327,-0.562884000405669,0,6,0,0,0,0,2,0,0,0,82,0,0,0,0,0,10,0,0
1,83,"1_2","1","2","2022_10_06_14-05-43_240.jpg",-0.890518438085003,-0.487580952276201,0,3,0,1,0,0,10,0,0,0,84,0,0,0,0,0,1,0,1
1,108,"1_2","1","2","2022_10_06_14-05-43_424.jpg",-0.960649955479786,-0.202866322018004,1,1,0,0,0,0,0,0,0,0,61,27,0,0,9,0,1,0,0
1,139,"1_3","1","3","2022_10_06_14-23-32_248.jpg",-1.10741661436255,-0.63617066488975,0,0,2,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0
1,132,"1_3","1","3","2022_10_06_14-23-32_200.jpg",-0.873959902524274,-0.689928091114214,0,0,0,0,0,0,0,0,0,0,56,2,4,0,0,2,0,4,0
1,127,"1_3","1","3","2022_10_06_14-23-32_160.jpg",-0.808800544259373,-0.349523075335075,2,2,12,0,0,0,4,0,2,0,64,2,0,0,2,0,0,0,0
1,129,"1_3","1","3","2022_10_06_14-23-32_176.jpg",-0.789864488613335,-0.300220519891218,0,8,14,2,0,0,0,0,0,0,62,2,0,0,4,0,0,0,2
1,123,"1_3","1","3","2022_10_06_14-23-32_136.jpg",-1.0642467138123,-0.56083260800677,0,0,8,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
1,118,"1_3","1","3","2022_10_06_14-23-32_0.jpg",-0.740150073114472,-0.267377209322533,0,16,4,4,0,0,0,0,0,0,64,4,0,0,4,0,2,0,0
1,131,"1_3","1","3","2022_10_06_14-23-32_192.jpg",-0.945697585718998,-0.58990045522286,2,0,0,0,0,0,0,0,0,0,88,0,0,0,6,0,0,4,0
1,138,"1_3","1","3","2022_10_06_14-23-32_240.jpg",-0.339899265364918,-0.567804493396747,0,6,0,2,0,0,2,0,0,0,42,2,18,0,0,0,0,0,0
1,147,"1_3","1","3","2022_10_06_14-23-32_376.jpg",-1.00505333589109,-0.240760191176461,2,2,0,0,0,0,2,0,0,0,52,21,0,0,0,0,1,0,1
1,137,"1_3","1","3","2022_10_06_14-23-32_24.jpg",-0.634098819578306,-0.510672271653839,0,16,2,4,0,0,0,0,0,0,68,0,8,0,0,0,2,0,0
1,135,"1_3","1","3","2022_10_06_14-23-32_224.jpg",-0.646975913207035,-0.444375325621267,0,8,2,2,0,0,0,0,0,0,48,20,6,0,0,0,0,0,0
1,141,"1_3","1","3","2022_10_06_14-23-32_264.jpg",-0.891182322124618,-0.500195760575497,0,10,2,0,0,0,0,0,0,0,82,0,0,0,2,0,0,0,0
1,153,"1_3","1","3","2022_10_06_14-23-32_8.jpg",-0.580826336659238,-0.194985283697935,0,8,4,2,0,0,2,0,0,0,56,2,0,0,26,0,0,0,0
1,156,"1_3","1","3","2022_10_06_14-23-32_96.jpg",-0.620568191826993,-0.343918001422439,0,10,10,4,0,0,0,0,0,0,52,12,6,0,0,0,0,0,0
1,140,"1_3","1","3","2022_10_06_14-23-32_256.jpg",-0.697092752208574,0.0597223349386711,0,14,10,2,0,0,0,0,0,0,34,22,0,0,6,0,0,0,0
