"key","site","transect","img_name","kelp_bryozoan","soft_sediment","cobble","pebble","unknown","filamentous_brown","kelp_holdfast","sargassum","sugar_kelp","green_algae","textured_kelp","other_brown_kelp","red_algae","shell_debris","hard_substrate","anthro_substrate","sessile_invert","mobile_invert","coralline_algae"
"4_1","4","1","2022_10_10_09-46-57_88.jpg",0,12,4,26,8,0,0,0,0,0,20,0,2,26,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_104.jpg",0,7,3,6,6,0,0,0,0,1,56,0,5,16,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_40.jpg",0,9,2,26,7,0,0,0,0,2,33,0,4,16,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_416.jpg",0,14,0,0,0,0,0,0,1,0,69,0,0,16,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_344.jpg",0,0,2,0,8,0,0,0,0,0,60,0,2,4,20,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_128.jpg",0,4,0,1,64,0,0,0,4,2,0,0,3,22,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_192.jpg",0,26,6,15,3,1,0,0,0,2,0,0,3,36,0,0,0,2,0
"4_1","4","1","2022_10_10_09-46-57_360.jpg",0,15,7,1,8,0,0,0,0,2,42,0,1,4,18,0,1,1,0
"4_1","4","1","2022_10_10_09-46-57_200.jpg",0,15,0,33,2,0,0,0,0,1,26,0,1,17,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_184.jpg",0,33,5,12,11,0,0,0,2,3,0,0,8,25,1,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_312.jpg",0,10,3,4,6,0,0,0,3,5,40,0,1,28,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_320.jpg",0,22,0,0,0,0,0,0,0,3,50,0,0,20,3,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_280.jpg",0,2,10,11,4,0,0,0,0,0,20,0,14,13,26,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_16.jpg",0,0,2,28,5,2,0,0,0,0,47,0,4,10,2,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_32.jpg",0,6,2,13,7,0,0,0,0,0,41,0,14,17,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_368.jpg",0,33,4,1,23,0,0,0,0,0,6,0,5,15,10,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_112.jpg",0,10,0,6,4,0,0,0,0,0,39,0,5,26,4,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_480.jpg",0,4,0,0,21,0,0,0,1,0,44,0,0,30,0,0,0,0,0
"4_1","4","1","2022_10_10_09-46-57_168.jpg",0,4,5,42,14,0,0,0,0,2,0,0,2,29,0,0,0,0,0
"5_1","5","1","2022_9_26_13-11-07_560.jpg",0,1,0,0,11,0,0,0,23,0,31,0,23,0,1,0,0,0,0
"5_1","5","1","2022_9_26_13-11-07_704.jpg",0,0,2,12,16,2,0,0,4,3,19,0,10,1,2,0,0,0,0
"5_1","5","1","2022_9_26_13-11-07_616.jpg",0,0,3,0,2,0,0,0,0,0,52,0,4,0,12,0,0,2,0
